"GENE_NAME","CHROMOSOME","UNIPROT_ACC","GO_MOLECULAR_FUNCTION","REACTOME_ID","KEGG_ID","INTERPRO_ID","PFAM_ID","INTACT_ID","BIOGRID_ID","CONSENSUSPATH_ID","GDI","P_HI","P_REC","ESSENTIAL_GENE","GENATLAS_TISSUE","lastmodified"
"MAN1B1","9","Q9UKM7","alpha-mannosidase activity ; calcium ion binding ; mannosyl-oligosaccharide 1,2-alpha-mannosidase activity","R-HSA-901032;","hsa00510;hsa01030","IPR001382;","PF01532;","DNM2;","CUL5;CCNDBP1;DNM2;","DNM2;CUL5;CCNDBP1",NULL,"0.32",NULL,NULL,NULL,"2017-06-22 00:00:00"
"MEFV","16","O15553","actin binding ; zinc ion binding","R-HSA-844456;",NULL,"IPR001870;IPR003879;IPR013320;IPR004020;IPR011029;IPR006574;IPR003877;IPR000315;IPR013083;","PF13765;PF02758;PF00622;PF00643;","MEFV;YWHAQ;PYCARD;","SIVA1;GABARAPL2;MAP1LC3C;GABARAPL1;COG5;MAP1LC3A;BECN1;ULK1;PYCARD;NLRP3;ATG16L1;GABARAP;","PSTPIP1;PYCARD;RELA;CEBPB;NFKBIA;CASP5;SIVA1;PYCARD;CASP1;NLRP2;CASP1;YWHAQ;COG5","1463.78","0.09","0.21","E","dorsal root ganglion;superior cervical ganglion;globus pallidus;ciliary ganglion;atrioventricular node;trigeminal ganglion;skin;","2017-06-22 00:00:00"
"MFN2","1","O95140","GTPase activity ; GTP binding ; ubiquitin protein ligase binding","R-HSA-5205685;R-HSA-983231;",NULL,"IPR022812;IPR006884;IPR030381;IPR027089;IPR027417;","PF00350;PF04799;","BAK1;VCP;TCHP;SMAD2;LRRK2;MARCH5;","MFN2;MAVS;HUWE1;NTRK1;MAPK9;NXF1;PARK2;MARCH5;","SMAD2;MAVS;MFN1;BAK1;TCHP;VCP;LRRK2;CPSF7;ERBB2IP;WRNIP1;SKIL;DNAJA2;DOCK9;FAM83G;SLC25A5;SMAD4;C1orf116;DCAF7;LEMD3;SMURF2;BUB3;YY1;SLC25A6;CAD;EPB41L5;SNW1;KLF5;SQRDL;DHX8;RIN1;CCT6A;CSNK1D;MTCH1;SMAD2;PSPC1;ZFYVE9;SIK3;DGKA;OPA1;PCID2;U2AF2;SMAD3;ITGB4;WWP2;SLC25A3;SKI;MARCH5;BAK1;MFN1;PARK2;MAPK9;HUWE1;UBE2N","69.8","0.08","0.09","E","subthalamic nucleus;medulla oblongata;superior cervical ganglion;thalamus;pons;trigeminal ganglion;skeletal muscle;","2017-06-22 00:00:00"
"MITF","3","O75030","E-box binding ; protein dimerization activity ; RNA polymerase II core promoter proximal region sequence-specific DNA binding ; transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding ; transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding","R-HSA-3232118;","hsa04916;hsa05218","IPR011598;IPR021802;IPR031867;IPR030532;","PF11851;PF00010;PF15951;","EBP;YWHAZ;HK3;TFEB;STUB1;","XPO1;HINT1;TFE3;TFEB;PAX6;SPI1;STUB1;FOS;SUMO1;APP;TFEC;HK3;PATZ1;EBP;EPAS1;LEF1;ELAVL1;UBE2I;MARK3;CDK2;PSMD14;EP300;PIAS3;PIAS2;PIAS1;","PIAS3;EP300;LEF1;CTNNB1;EBP;STUB1;HK3;YWHAZ;SUMO1;FOS;MAPK1;MAPK14;RPS6KA1;OTX2;SPI1;PAX3;CTNNB1;PAX3;TFEC;GSK3B;PATZ1;PAX6;TFE3;TFEB;UBE2I;PIAS1;PIAS2;PSMD14;MARK3;HINT1;APP;EPAS1;RB1;PER3;CDK2;GSK3A","59.31","0.85","0.42","E","uterus;superior cervical ganglion;uterus corpus;skeletal muscle;","2017-06-22 00:00:00"
"MKKS","20","Q9NPJ1","ATP binding ; protein binding involved in protein folding ; RNA polymerase II repressing transcription factor binding ; unfolded protein binding","R-HSA-5620922;",NULL,"IPR002423;IPR027409;IPR027413;IPR028790;","PF00118;","STK16;ICA1;TCP1;BBS7;CCT2;CCT3;BBS12;BBS10;BBS2;CCT5;CCT4;CCT8;PTN;TGIF1;","STK16;APP;ICA1;HSP90AA1;EEF1G;PTN;TGIF1;HSPA4;STUB1;HSPA8;","BBS7;BBS12;BBS7;BBS10;BBS12;BBS2;CCT5;TCP1;CCT2;CCT8;CCT3;BBS7;BBS12;CCT4;BBS12;BBS5;BBS2;BBS1;CCT2;BBS10;TTC8;CCT3;BBS7;BBS4;BBS9;CCT4;TCP1;BBS12;BBS10;TCP1;BBS7;BBS10;CCT2;BBS10;BBS2;BBS7;BBS2;PTN;CCT2;BBS7;TCP1;CCT3;CCT2;BBS10;BBS12;TCP1;BBS7;BBS2;BBS12;BBS10;CCT2;CCDC28B;CCT4;TCP1;BBS10;CCT5;CCT8;CCT3;BBS7;STK16;ICA1;TGIF1;HSPA4;HSPA8;HSP90AA1;STUB1;APP;EEF1G","1649.28","0.47","0.31","E","thalamus;subthalamic nucleus;medulla oblongata;occipital lobe;temporal lobe;prefrontal cortex;globus pallidus;pons;caudate nucleus;parietal lobe;cingulate cortex;","2017-06-22 00:00:00"
"MTR","1","Q99707","cobalamin binding ; methionine synthase activity ; S-adenosylmethionine-homocysteine S-methyltransferase activity ; zinc ion binding","R-HSA-156581;R-HSA-1614635;R-HSA-196741;R-HSA-3359467;R-HSA-3359469;","hsa00271;hsa00670","IPR003759;IPR006158;IPR011005;IPR003726;IPR033706;IPR011822;IPR000489;IPR004223;","PF02310;PF02607;PF02965;PF00809;PF02574;","TSC22D1;XRCC3;CDK18;CDKN2A;MMACHC;B9D1;B9D2;NEK8;CEP19;","XRCC3;CDK18;NAPG;B9D1;BTRC;B9D2;CEP19;AKAP13;ELAVL1;NXF1;TPD52L2;CALU;TSC22D1;ARPC1A;MOV10;CDKN2A;ILF2;ARPC2;NTRK1;NEK8;THG1L;UBC;LSM4;DHX16;DPP9;","MMACHC;TSC22D1;MAGED2;BAG6;NSRP1;EIF3I;GNB4;CDK18;UBL4A;PPP5C;LARP4B;STUB1;NTPCR;PPP2CB;EEF2;GAPDH;CDKN2A;MYL12A;PDCD6;ACTB;HNRNPC;ACTN4;PCNA;SNRPB;MMRN1;HSPA9;ACTG1;TUBB4B;MCM6;CDK6;UBE4B;USP26;SNRPA;ACLY;TUBB;HNRNPA2B1;HSP90AA1;HSP90AB1;RUVBL2;HSPA8;HSPA4;RIN2;EEF2;EPHA3;TUBA1C;MTRR;DYNLL1;UBC;LSM4;DHX16;NAPG;ILF2;CDK18;DPP9;ARPC1A;ARPC2;CALU;THG1L;TPD52L2;BTRC;AKAP13","2789.31","0.69","0.69","E",NULL,"2017-06-22 00:00:00"
"MYH7","14","P12883","actin binding ; actin-dependent ATPase activity ; ATPase activity ; ATP binding ; calmodulin binding ; microfilament motor activity","R-HSA-1445148;","hsa04530","IPR000048;IPR001609;IPR004009;IPR002928;IPR027417;","PF00063;PF02736;PF01576;","CLSPN;YWHAZ;PPP3R1;PRDX5;KEAP1;SNAPIN;FAM58A;AFF1;ESR2;ATP6V1D;TAF11;SEC61B;TULP3;MYOM2;KXD1;POLD1;RNF167;RBPJ;PDCD6;CLINT1;TARSL2;NTHL1;DISC1;SPTAN1;","CLSPN;LIMS1;KIAA0368;PPP3R1;PRDX5;KEAP1;TPM2;CDCA8;PSMD4;TARSL2;NTHL1;CLINT1;WWOX;DISC1;ROGDI;SIRT6;ACTN2;FAM58A;ACTN3;AFF1;ATP6V1D;TNNI1;TAF11;TMEM260;SEC61B;KXD1;POLD1;SIX1;YWHAQ;RBPJ;PDCD6;SPTAN1;","SNAPIN;TULP3;MKI67;SRRM2;PIP;MYH4;MYL6;RPS27L;ZC3H18;PKP3;STK31;GCC2;RPL29;WNK4;CPT1A;RIMS2;POLR1E;COIL;BAIAP2L1;ZFR;PTPN23;TTC21B;RPL36AL;C19orf68;ZC3HAV1;MED17;GTF3C2;GTF3C5;RRP12;NCOA3;MYBBP1A;HIST1H4A;RPL18A;ZFP91;RPL7A;MRPS22;DBN1;DDX50;RRP1B;MYH7B;RRP1;CWC15;RPS9;HSPA8;POM121C;RPS17;SPTBN2;EFTUD2;GTF3C4;RBM14;PURA;RPL10A;C9orf114;VMAC;GNL3;FTSJ3;LAS1L;SMN1;PTCD3;EXOSC10;SENP3;NEBL;RPS18;FMR1;RPL23;SURF6;RPS3;CSE1L;ELMSAN1;RBM28;SMARCA5;WDR18;MYO1D;SEMG2;RPL17;DOK6;PSMD12;HNRNPH2;LRRC59;EXOSC4;ACSM2B;NEFH;NRIP1;MED4;FXR2;RFC1;PURB;AKAP8;SHROOM3;MED1;ESR2;RPLP0;PPRC1;NOP56;ZNF512B;GSN;LIMA1;MYLK2;ESR1;RPS16;UBN1;BAZ1A;RPS4X;EIF2A;GTF3C3;ZNF638;CNTRL;RFC4;CGN;MYO1C;RBM10;EPS15L1;RPS11;RPL7;VPS41;NOLC1;UBR3;STAU1;MYH14;RPS25;RFC2;PELP1;MLLT1;ACTB;H2BFS;HNRNPCL1;RPS13;LAMB1;MRPS15;NKRF;FBLL1;KANK2;PWP1;BCLAF1;LACTB;MYH13;NAT10;RPS26;KXD1;H1F0;HIST1H1T;ACTB;YWHAZ;MYH2;KRT18;ACTG1;MYH9;KRT8;CEP250;MYLK2;RALY;KRT17;CALM1;HIST1H1C;CBL;MYL12A;LMNA;HIST1H1D;HNRNPA2B1;TPM1;RPS3;USP42;YWHAG;H2AFX;MYH3;ANKRD18A;ACTN3;VASP;HIST1H2BD;TSC2;HIST1H2AG;VIM;YWHAE;YWHAQ;MYL3;ATP5A1;HIST1H4A;BANK1;YWHAH;TGIF2LY;MYH13;CACNA1S;TTN;ACTA2;TUBB2A;DES;MYH11;ACTN2;HNRNPC;DISC1;RNF167;YWHAB;WNK4;ATP5A1;ACTA2;MYH13;ANKRD18A;HIST1H2BD;TUT1;EEF1A1;MYH9;KRT8;HMGCS2;MYLK2;TUBA1C;KRT17;SFN;ATP5B;H1F0;YWHAZ;ACTB;HSPB1;PRKDC;YWHAQ;YWHAE;MYL3;HIST1H4A;CPS1;MYOM2;NTHL1;TEAD4;TEAD3;TEAD1;PSMD4;YWHAQ;KIAA0368;WWOX;CDCA8;ROGDI;SIX1;LIMS1;TMEM260","108.57","0.44","0.17",NULL,"heart;tongue;skeletal muscle;","2017-06-22 00:00:00"
"MYH7B","20","A7E2Y1","actin binding ; ATP binding ; motor activity","R-HSA-1445148;","hsa04530","IPR000048;IPR001609;IPR004009;IPR002928;IPR027417;","PF00063;PF02736;PF01576;","NCBP2;MRPS27;RBBP5;BCLAF1;CACNA2D1;SMYD1;COPS7B;ESR2;SEC62;FXR1;TNS2;PGAM5;POLDIP3;SRRM1;KPNA4;PDCD6;","ALDOA;NCBP2;BCLAF1;ALDOC;CYC1;COPS7B;TPM1;TENC1;SEC62;TPM4;TPM3;CKB;GPD1L;PGAM5;SRRM1;MRPS27;CACNA2D1;RBBP5;ACTN4;ACO2;SMYD1;FXR1;SP1;POLDIP3;TRPC4AP;KPNA4;PDCD6;","MKI67;SRRM2;PIP;MYH4;MYL6;RPS27L;ZC3H18;PKP3;STK31;GCC2;RPL29;WNK4;CPT1A;RIMS2;POLR1E;COIL;BAIAP2L1;ZFR;PTPN23;TTC21B;RPL36AL;C19orf68;ZC3HAV1;MED17;GTF3C2;GTF3C5;RRP12;NCOA3;MYBBP1A;HIST1H4A;RPL18A;ZFP91;RPL7A;MRPS22;DBN1;DDX50;RRP1B;RRP1;CWC15;RPS9;HSPA8;POM121C;RPS17;SPTBN2;EFTUD2;GTF3C4;RBM14;PURA;RPL10A;C9orf114;VMAC;GNL3;FTSJ3;LAS1L;SMN1;PTCD3;EXOSC10;SENP3;NEBL;RPS18;FMR1;RPL23;SURF6;RPS3;CSE1L;ELMSAN1;RBM28;SMARCA5;WDR18;MYO1D;SEMG2;RPL17;DOK6;PSMD12;HNRNPH2;LRRC59;EXOSC4;ACSM2B;NEFH;NRIP1;MED4;FXR2;RFC1;PURB;AKAP8;SHROOM3;MED1;ESR2;RPLP0;PPRC1;NOP56;ZNF512B;GSN;LIMA1;MYLK2;ESR1;RPS16;UBN1;BAZ1A;RPS4X;EIF2A;GTF3C3;ZNF638;CNTRL;RFC4;CGN;MYO1C;RBM10;EPS15L1;MYH7;RPS11;RPL7;VPS41;NOLC1;UBR3;STAU1;MYH14;RPS25;RFC2;PELP1;MLLT1;ACTB;H2BFS;HNRNPCL1;RPS13;LAMB1;MRPS15;NKRF;FBLL1;KANK2;PWP1;BCLAF1;LACTB;MYH13;NAT10;RPS26;SMYD1;TNS2;SP1","2287.02","0.15","0.32",NULL,"superior cervical ganglion;liver;caudate nucleus;","2017-06-22 00:00:00"
"MYO6","6","Q9UM54","actin binding ; actin filament binding ; ADP binding ; ATP binding ; cadherin binding ; calmodulin binding ; minus-end directed microfilament motor activity ; motor activity","R-HSA-190873;R-HSA-399719;",NULL,"IPR032412;IPR001609;IPR027417;","PF16521;PF00063;","E2F3;CLTB;GRB2;CAPZA2;GIPC1;ANLN;CLTC;GTSE1;ACTR2;CYLD;TNFRSF1A;CDC42;TNFRSF1B;DAB2;AP2B1;PICALM;MAP3K3;RNF11;USP11;MYO5C;SYNPO;APC;ESR1;MYH9;PPP1CB;CDK2;FLNA;GAK;IKBKE;JUN;IKBKG;RIPK3;UBB;MYO19;USP25;DBN1;MYO18A;CALM1;","CLTB;CAPZA2;CAPZA1;CLTC;GTSE1;ACTR2;CDC42;DAB2;PICALM;DAB1;PAK2;FBXO25;USP11;PAK1;DPP9;DNAJC2;PAN2;ABCE1;MYO6;ESR1;TP53;OPTN;MYH9;ALK;PPP1CB;FLNA;CDK2;GAK;G6PD;UBC;TOM1;USP25;MYO18A;DBN1;RAD23B;RAD23A;CALCOCO2;ANLN;GIPC1;CDH1;NHLRC2;POLR2A;CYLD;MOV10;LMTK2;FBXO6;RNF11;MYO5C;SYNPO;APC;ENO1;PARK2;NXF1;TAX1BP1;SP1;AP2A1;TOM1L2;NTRK1;MYO19;CALM2;","CDH1;VCL;CDH1;KLHL9;USP28;USP25;LYZ;KCTD13;PIP;NEDD8;BTBD9;WRNIP1;ANXA1;KCTD10;ZG16B;KRT4;MAP3K3;LBR;SUN2;KRT14;DHX33;KDM1A;DOCK8;RPS3;ZBED4;SLC2A1;TCERG1;SHOC2;HNRNPU;SLC25A4;EFTUD2;ATP1A1;MATR3;NPLOC4;ADGRF5;HSPA5;NCAPG;XRCC5;SEC61A1;SLC25A3;ALB;CPT1A;SMARCA1;E2F3;HSPA6;ATP2A2;RB1;CLASP1;TCF7L2;AHCTF1;ACADS;CTNNA1;MYBBP1A;PCLO;NDUFS1;ALPI;CCDC9;SLC27A4;LRPPRC;NAT10;PMM1;CTNNB1;RPS27L;RHOT1;NUP98;RBSN;GPAM;DHCR7;SLC25A10;IMPA1;NOLC1;ZNF300;SFMBT1;POLG;MRPL57;SCD;L3MBTL3;ITGB1;DHX9;PGAP1;SLC25A5;PARP1;SP1;SMPD4;TNXB;MSH6;RAB13;HSPA9;PRKDC;GPD2;INTS6;XRCC6;TFRC;TMEM33;MYO1C;SLC25A6;ENOX2;EEF1A1;IMMT;MYO1B;RHOT2;NCL;AGPAT5;DDB1;KRT1;TECR;STT3A;ZNF148;NUP205;TRRAP;CEBPZ;HADHA;TRIM28;INTS3;GTPBP2;ATAD3A;KAT2A;DDX21;AKAP8;TRIM23;LMNA;AFG3L2;WRN;NOTCH3;RFC1;NOC2L;ZC3H11A;NUP93;INTS5;HELLS;DDX41;KRT9;MSH2;NUMA1;HLTF;SLC16A3;RIPK3;DAB2;RNF11;APC;SHMT2;EEF2;RPL26;NONO;CCM2L;SHC1;DDX5;GSTM1;HNRNPF;TUBA1B;PTPN11;GRB2;VAV3;PABPC1;AP2S1;LMNA;MYL12A;PDCD6;UGDH;ARPC4;S100A6;FLNB;PHGDH;NEXN;CFL2;ANXA2;TPM2;ITPR3;MYO3B;SPECC1L;TAOK2;KRT17;DLD;HNRNPH2;SSBP1;DYNLL1;EGFR;ATAD3A;ACTN4;SNRPD2;RCC2;ABLIM1;PPP1R9B;PPP1CB;RPS5;ACTR2;RPS3A;HSPB1;DHX9;PRMT5;CBLB;RPS13;ARPC3;CTTN;PPP6R3;MYH14;RPS25;GMFB;THRAP3;AP2M1;CORO1B;RPL7;RPS11;SCIN;DNAJA2;RPS14;GSTP1;RPL12;SPTAN1;LMO7;IPO7;UACA;RPL4;WDR1;RPS28;MYO1C;XRCC6;SOS1;ACTG1;TIAF1;SMU1;SPTBN1;FSCN1;HIST1H3A;RPL35A;KRT18;RPS8;GRWD1;RUVBL1;RPL30;TUBB3;PRKDC;AP2B1;DDX39B;SYNPO;RPL18A;RPL23A;DBN1;GSTM3;RPL27;PRDX1;TUFM;EEF1G;ATP5A1;HIST1H4A;RPL24;RPL10;FLNA;HSPA5;SLC25A3;ACTG2;PKM;TUBB4B;RPLP2;RPS26;EIF4A1;IQGAP1;HIST2H2AA3;SVIL;ILF3;RPL36;RAI14;RACGAP1;LRRFIP2;VAV2;MYL6;RPL21;CAMK2D;RPL27A;ACTN1;CORO1C;CD59;DUT;HIST1H2BH;DST;BCLAF1;IMPDH2;SMARCA5;RPL18;PAWR;ACTR3;TPM1;RPS18;PTBP1;RPL23;RPS3;HNRNPA2B1;CAPZB;SAFB2;PLEC;MPRIP;CBR1;SERPINH1;MYO1A;RPS15A;ACTC1;AP2A1;SRP9;ANXA6;PCMT1;TUBB;PPP1R12A;PPP3CA;PDLIM7;SLC25A4;DDX6;HNRNPH1;KRT7;HNRNPK;RPL31;LUZP1;HSPD1;MYH10;SRP14;ARPC1A;RBBP7;ARPC5;TUBA4A;HADHB;MATR3;RUVBL2;HSP90AB1;DAPK3;HSPA8;HTRA1;SRSF10;HNRNPU;RPS20;EIF4A3;RPS9;RPS16;HSPA1L;TMOD3;SPECC1;ARPC2;NCL;RPS23;HNRNPA1;PPIA;DLST;EEF1A1;GSN;PLS3;MYH9;MYO1B;EPPK1;FLII;KRT8;LIMA1;CFL1;RPL3;LUC7L2;ABLIM3;CDC42;IKBKG;TNFRSF1B;GIPC1;TNFRSF1A;IKBKE;SPATA2;SPATA2L;CEP192;MGEA5;CAMK2D;CYLD;AP2B1;CALM1;DLG1;ACTA1;PAK3;DAB1;CYLD;USP11;USP25;UBC;SP1;TAX1BP1;CALCOCO2;FBXO25;OPTN;LMTK2;AP2A1;CLTC;PAK1;CAPZA1;POLR2A;ESR1;TOM1;TOM1L2;PARK2;PAN2;FBXO6;TP53;ALK;ABCE1;FUS;GRB2","419.16","0.26","0.32","N",NULL,"2017-06-22 00:00:00"
"MYO7A","11","Q13402","actin-dependent ATPase activity ; actin filament binding ; ADP binding ; ATP binding ; calmodulin binding ; microfilament motor activity ; protein domain specific binding ; protein homodimerization activity ; protein N-terminus binding ; spectrin binding","R-HSA-2453902;",NULL,"IPR019749;IPR014352;IPR019748;IPR000299;IPR000048;IPR001609;IPR000857;IPR027417;IPR011993;IPR001452;IPR029071;","PF00373;PF00612;PF00063;PF00784;",NULL,"KHDRBS1;MGMT;MAP2;PRKAR1A;LANCL1;USH1C;KEAP1;CDH1;VEZT;CTNNA1;CALM1;CTNNB1;","MAP2;PRKAR1A;CTNNB1;VEZT;CDH1;CTNNA1;ACTA1;DFNB31;MYRIP;KEAP1;CALM1;CDH23;VEZT;USH1C;CTNNA1;CTNNB1;CDH1;MGMT;KHDRBS1;LANCL1;PCDH15;GPR98;USH2A;CAMK2A;USH1G","4945.68","0.12","0.34","N","superior cervical ganglion;subthalamic nucleus;testis - seminiferous tubule;adrenal gland;adrenal cortex;testis;ciliary ganglion;pons;atrioventricular node;trigeminal ganglion;skeletal muscle;","2017-06-22 00:00:00"
"MYOC","1","Q99972","fibronectin binding ; frizzled binding ; metal ion binding ; myosin light chain binding ; receptor tyrosine kinase binding",,NULL,"IPR031213;IPR003112;","PF02191;",NULL,"ALDOA;A2M;MAEA;VIM;COL3A1;TPM1;TIMP1;PKM;ACTG1;FUBP1;TNFRSF1A;OLFML3;ECE1;IGLL1;HSPA4;CAP1;IGKC;OLFM3;GAPDH;MYOC;ENO1;FTL;FN1;ACTB;EEF1A1;LGALS3;ACTA2;TGFBR1;FBN1;TKT;CLIC1;ANXA2;HAGH;C1QB;NOTCH2;CKM;RFC1;SERPINF1;LAMA5;CD81;ITGA7;MYH11;COL1A2;","SERPINF1;GAPDH;ACTA2;ACTB;FTL;FBN1;ALDOA;ANXA2;GGTLC1;LGALS3;NOTCH2;OLFML3;EEF1A1;HAGH;FUBP1;CD81;PKLR;MYL2;ITGA7;TIMP1;A2M;LAMA5;COL1A2;COL3A1;CLIC1;TGFBR1;TNFRSF1A;ENO1;CAP1;IGLL1;CKM;RFC1;TKT;C1QB;ECE1;MAEA;OLFM3;FN1;ACTG1;PKM;VIM;MYH11;TPM1;HSPA4","839.33","0.49","0.41","N","trachea;tongue;thyroid;ciliary ganglion;skeletal muscle;","2017-06-22 00:00:00"
"NEK1","4","Q96PY6","ATP binding ; kinase activity ; metal ion binding ; protein kinase activity ; protein tyrosine kinase activity ; signal transducer, downstream of receptor, with serine/threonine kinase activity",,NULL,"IPR011009;IPR000719;IPR017441;IPR008271;","PF00069;","CTNNAL1;CEP104;KIF3A;NEK1;EXOSC4;MRE11A;TP53BP1;PPP2R5D;PKM;ATRX;ZNF350;YWHAH;MAP1LC3A;TSC2;CEP290;LRRK2;LRRK1;FEZ2;FEZ1;","CTNNAL1;XPO1;CEP104;KIF3A;PPP2R5A;TP53BP1;MRE11A;EXOSC4;SKAP1;WDR83;ATRX;ZNF350;KRAS;YWHAH;TSC2;CEP290;TEKT4;VPS26B;FEZ2;FEZ1;","YWHAH;CTNNAL1;TP53BP1;ZNF615;KIF3A;PPP2R5D;FEZ2;FEZ1;ATRX;TSC2;LRRK1;MRE11A;ZNF350;EXOSC4;LRRK2;PPP2R5A;CSN2;WDR83;VPS26B;SKAP1;TEKT4;RAD54L;NDC80","1485.56","0.6","0.09","E",NULL,"2017-06-22 00:00:00"
"NEUROD1","2","Q13562","chromatin binding ; E-box binding ; protein heterodimerization activity ; RNA polymerase II activating transcription factor binding ; RNA polymerase II core promoter proximal region sequence-specific DNA binding ; RNA polymerase II transcription coactivator activity ; transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding ; transcription coactivator activity ; transcription factor activity, sequence-specific DNA binding ; transcription factor binding","R-HSA-210745;R-HSA-210746;","hsa04950","IPR011598;IPR032652;IPR022575;IPR016637;","PF00010;PF12533;","DUSP3;","DPF3;HTT;NR0B2;CCND1;DUSP3;EP300;LACRT;MAP3K10;MAFA;TCF4;PDHX;TCF3;TCF12;HAP1;SMARCA4;","DUSP3;TCF4;RREB1;MAFA;EP300;CALM1;PDX1;EP300;CCND1;HAP1;PITX1;CCND1;MAP3K10;HTT;SMARCA4;PDHX;TCF3;TCF12;DPF3;LACRT;GATA3;EPHB2","106.68","0.98","0.74","E",NULL,"2017-06-22 00:00:00"
"NEXN","1","Q0ZGT2","actin filament binding ; structural constituent of muscle",,NULL,"IPR007110;IPR013783;IPR013098;IPR003599;","PF07679;","LIMA1;MYO1C;GRB2;CAPZA2;NELL1;ANLN;MYH9;PPP1CB;IQGAP1;FLNA;HSPB1;MAPRE1;MYO19;MYO18A;DBN1;MYO5C;SYNPO;","PAN2;LIMA1;MYO1C;CAPZA2;ANLN;TRIM15;MYH9;PPP1CB;LGR4;FLNA;IQGAP1;HSPB1;MYO19;MAPRE1;MYO18A;DBN1;CUL1;MYO5C;SYNPO;CALM1;","SHMT2;EEF2;RPL26;NONO;CCM2L;SHC1;DDX5;GSTM1;HNRNPF;TUBA1B;PTPN11;GRB2;VAV3;PABPC1;AP2S1;LMNA;MYL12A;PDCD6;UGDH;ARPC4;S100A6;FLNB;PHGDH;CFL2;ANXA2;TPM2;ITPR3;MYO3B;SPECC1L;TAOK2;KRT17;DLD;HNRNPH2;SSBP1;DYNLL1;EGFR;ATAD3A;ACTN4;SNRPD2;RCC2;ABLIM1;PPP1R9B;PPP1CB;RPS5;ACTR2;RPS3A;HSPB1;DHX9;PRMT5;CBLB;RPS13;ARPC3;CTTN;PPP6R3;MYH14;RPS25;GMFB;THRAP3;AP2M1;CORO1B;RPL7;RPS11;SCIN;DNAJA2;RPS14;GSTP1;RPL12;SPTAN1;LMO7;IPO7;UACA;RPL4;WDR1;RPS28;MYO1C;XRCC6;SOS1;ACTG1;TIAF1;SMU1;SPTBN1;FSCN1;HIST1H3A;RPL35A;KRT18;RPS8;GRWD1;RUVBL1;RPL30;TUBB3;PRKDC;AP2B1;DDX39B;SYNPO;RPL18A;RPL23A;DBN1;GSTM3;RPL27;PRDX1;TUFM;EEF1G;ATP5A1;HIST1H4A;RPL24;RPL10;FLNA;HSPA5;SLC25A3;ACTG2;PKM;TUBB4B;RPLP2;RPS26;EIF4A1;IQGAP1;HIST2H2AA3;SVIL;ILF3;RPL36;RAI14;RACGAP1;LRRFIP2;VAV2;MYL6;RPL21;CAMK2D;RPL27A;ACTN1;CORO1C;CD59;DUT;HIST1H2BH;DST;BCLAF1;IMPDH2;SMARCA5;RPL18;PAWR;ACTR3;TPM1;RPS18;PTBP1;RPL23;RPS3;HNRNPA2B1;CAPZB;SAFB2;PLEC;MPRIP;CBR1;SERPINH1;MYO1A;RPS15A;ACTC1;AP2A1;SRP9;ANXA6;PCMT1;TUBB;PPP1R12A;PPP3CA;PDLIM7;SLC25A4;DDX6;HNRNPH1;KRT7;HNRNPK;RPL31;LUZP1;HSPD1;MYH10;SRP14;ARPC1A;RBBP7;ARPC5;TUBA4A;HADHB;MATR3;RUVBL2;HSP90AB1;DAPK3;HSPA8;HTRA1;SRSF10;HNRNPU;RPS20;EIF4A3;RPS9;RPS16;HSPA1L;TMOD3;SPECC1;ARPC2;NCL;RPS23;HNRNPA1;PPIA;DLST;EEF1A1;GSN;PLS3;MYH9;MYO1B;EPPK1;FLII;KRT8;LIMA1;CFL1;RPL3;LUC7L2;MYO6;ABLIM3;HSPB1;NELL1;ACTA1;CALM1;CUL1;PAN2;LGR4;GRB2","1371.33","0.19","0.1",NULL,NULL,"2017-06-22 00:00:00"
"NLRP3","1","Q96P20","ATP binding ; identical protein binding ; peptidoglycan binding ; sequence-specific DNA binding ; transcription factor binding","R-HSA-5689901;R-HSA-844456;",NULL,"IPR004020;IPR011029;IPR032675;IPR001611;IPR029495;IPR007111;IPR027417;","PF14484;PF13516;PF02758;","MAVS;LTBP4;YBX3;CBX3;COPS7A;DMAP1;FEM1A;UQCRQ;ZC3H8;CBX5;PCGF5;TOP1;KIAA2013;MAP1LC3A;PVRL3;MTCH1;FBXO28;URB1;PYCARD;HNRNPC;LUC7L3;AP3B1;DNAJA2;CCDC86;NLRP5;PHRF1;GEMIN2;HIST1H1B;RBBP7;NLRP3;PHF14;SNRPB;SMARCA5;GPATCH4;FBXL6;LUC7L;SPAST;","LTBP4;YBX3;COPS7A;CBX3;ARHGAP17;DMAP1;FEM1A;UQCRQ;ZC3H8;CBX5;PCGF5;TOP1;KIAA2013;NLRC4;MEFV;PVRL3;MTCH1;FBXO28;URB1;DHX33;HNRNPC;LUC7L3;AP3B1;DNAJA2;NLRP5;CCDC86;PHRF1;HSP90AA1;GEMIN2;HIST1H1B;RBBP7;SUGT1;PHF14;ULK1;MCFD2;SNRPB;SMARCA5;GPATCH4;FBXL6;FAF1;LUC7L;SH3BP1;SPAST;FBXL2;",NULL,"78.63","0.42","0.11","N","subthalamic nucleus;superior cervical ganglion;appendix;pons;atrioventricular node;trigeminal ganglion;parietal lobe;skeletal muscle;","2017-06-22 00:00:00"
